,Aug-23,Aug-24,Aug-29,Aug-31,Sep-06,Sep-08,Sep-12
Aug-23,0,0,2,15,424,1,-38
Aug-24,-2,0,2,12,424,4,-32
Aug-29,-6,0,0,0,426,4,-36
Aug-31,-182,0,0,0,1,2,-36
Sep-06,-185,2,-21,-3,0,3,-33
Sep-08,-185,2,-21,-3,2,0,-38
Sep-12,-185,0,-21,-7,-1,0,0
