Date_time,No.of Black_listed_IPs
2017-06-12_0945,18467
2017-06-12_1000,18467
2017-06-12_1015,18467
2017-06-12_1030,18467
2017-06-12_1045,18467
2017-06-12_1100,18467
2017-06-12_1115,18469
2017-06-12_1130,18469
2017-06-12_1145,18469
2017-06-12_1200,18469
2017-06-12_1215,18468
2017-06-12_1230,18468
2017-06-12_1245,18468
2017-06-12_1300,18468
2017-06-12_1315,18464
2017-06-12_1330,18464
2017-06-12_1345,18464
2017-06-12_1400,18464
2017-06-12_1415,18464
2017-06-12_1430,18464
2017-06-12_1445,18464
2017-06-12_1500,18464
2017-06-12_1515,18468
2017-06-12_1530,18468
2017-06-12_1545,18469
2017-06-12_1600,18469
2017-06-12_1615,18469
2017-06-12_1630,18469
2017-06-12_1645,18469
2017-06-12_1700,18469
2017-06-12_1715,18464
2017-06-12_1730,18464
2017-06-12_1745,17735
2017-06-12_1800,17735
2017-06-12_1815,17735
2017-06-12_1830,17736
2017-06-12_1845,17736
2017-06-12_1900,17736
2017-06-12_1915,17740
2017-06-12_1930,17740
2017-06-12_1945,17740
2017-06-12_2000,17740
2017-06-12_2015,17740
2017-06-12_2030,17740
2017-06-12_2045,17740
2017-06-12_2100,17740
2017-06-12_2115,17740
2017-06-12_2130,17740
2017-06-12_2145,17740
2017-06-12_2200,17740
2017-06-12_2215,17740
2017-06-12_2230,17740
2017-06-12_2245,17740
2017-06-12_2300,17740
2017-06-12_2315,17734
2017-06-12_2330,17734
2017-06-12_2345,17734
2017-06-13_0000,17734
2017-06-13_0015,17734
2017-06-13_0030,17734
2017-06-13_0045,17734
2017-06-13_0100,17734
2017-06-13_0115,17735
2017-06-13_0130,17735
2017-06-13_0145,17735
2017-06-13_0200,17735
2017-06-13_0215,17735
2017-06-13_0230,17735
2017-06-13_0245,17735
2017-06-13_0300,17735
2017-06-13_0315,17737
2017-06-13_0330,17737
2017-06-13_0345,17737
2017-06-13_0400,17737
2017-06-13_0415,17737
2017-06-13_0430,17737
2017-06-13_0445,17737
2017-06-13_0500,17737
2017-06-13_0515,17738
2017-06-13_0530,17738
2017-06-13_0545,17738
2017-06-13_0600,17738
2017-06-13_0615,17738
2017-06-13_0630,17738
2017-06-13_0645,17738
2017-06-13_0700,17738
2017-06-13_0715,17734
2017-06-13_0730,17734
2017-06-13_0745,17734
2017-06-13_0800,17734
2017-06-13_0815,17733
2017-06-13_0830,17733
2017-06-13_0845,17733
2017-06-13_0900,17733
2017-06-13_0915,17733
2017-06-13_0930,17733
2017-06-13_0945,17733
2017-06-13_1000,17733
2017-06-13_1015,17733
2017-06-13_1030,17733
2017-06-13_1045,17733
2017-06-13_1100,17733
2017-06-13_1115,17731
2017-06-13_1130,17731
2017-06-13_1145,17731
2017-06-13_1200,17731
2017-06-13_1215,17731
2017-06-13_1230,17731
2017-06-13_1245,17731
2017-06-13_1300,17731
2017-06-13_1315,17730
2017-06-13_1330,17730
2017-06-13_1345,17730
2017-06-13_1400,17730
2017-06-13_1415,17730
2017-06-13_1430,17730
2017-06-13_1445,17730
2017-06-13_1500,17730
2017-06-13_1515,17730
2017-06-13_1530,17730
2017-06-13_1545,17730
2017-06-13_1600,17730
2017-06-13_1615,17730
2017-06-13_1630,17730
2017-06-13_1645,17730
2017-06-13_1715,18694
2017-06-13_1730,17806
2017-06-13_1745,17715
2017-06-13_1800,17715
2017-06-13_1815,17715
2017-06-13_1830,17715
2017-06-13_1845,17715
2017-06-13_1901,17715
2017-06-13_1915,17719
2017-06-13_1930,17719
2017-06-13_1945,17719
2017-06-13_2000,17719
2017-06-13_2015,17719
2017-06-13_2030,17719
2017-06-13_2045,17719
2017-06-13_2100,17719
2017-06-13_2115,17719
2017-06-13_2130,17719
2017-06-13_2145,17719
2017-06-13_2200,17719
2017-06-13_2215,17719
2017-06-13_2230,17719
2017-06-13_2245,17719
2017-06-13_2301,17719
2017-06-13_2315,17717
2017-06-13_2330,17717
2017-06-13_2345,17717
2017-06-14_0000,17717
2017-06-14_0015,17718
2017-06-14_0030,17718
2017-06-14_0045,17718
2017-06-14_0100,17718
2017-06-14_0115,17725
2017-06-14_0130,17725
2017-06-14_0145,17725
2017-06-14_0200,17725
2017-06-14_0215,17725
2017-06-14_0230,17725
2017-06-14_0245,17725
2017-06-14_0300,17725
2017-06-14_0315,17722
2017-06-14_0330,17722
2017-06-14_0345,17722
2017-06-14_0400,17722
2017-06-14_0415,17722
2017-06-14_0430,17722
2017-06-14_0445,17722
2017-06-14_0501,17722
2017-06-14_0515,17726
2017-06-14_0530,17726
2017-06-14_0545,17726
2017-06-14_0600,17726
2017-06-14_0615,17726
2017-06-14_0630,17726
2017-06-14_0645,17726
2017-06-14_0700,17726
2017-06-14_0715,17722
2017-06-14_0730,17722
2017-06-14_0745,17722
2017-06-14_0800,17722
2017-06-14_0815,17722
2017-06-14_0830,17722
2017-06-14_0845,17722
2017-06-14_0900,17722
2017-06-14_0915,17728
2017-06-14_0930,17728
2017-06-14_0945,17728
2017-06-14_1000,17728
2017-06-14_1015,17728
2017-06-14_1030,17728
2017-06-14_1045,17728
2017-06-14_1100,17728
2017-06-14_1115,17725
2017-06-14_1130,17725
2017-06-14_1145,17725
2017-06-14_1200,17725
2017-06-14_1215,17725
2017-06-14_1230,17725
2017-06-14_1245,17725
2017-06-14_1300,17725
2017-06-14_1315,17726
2017-06-14_1330,17726
2017-06-14_1345,17726
2017-06-14_1400,17726
2017-06-14_1415,17726
2017-06-14_1430,17726
2017-06-14_1445,17726
2017-06-14_1500,17726
2017-06-14_1515,17728
2017-06-14_1530,17728
2017-06-14_1545,17728
2017-06-14_1600,17728
2017-06-14_1615,17728
2017-06-14_1630,17728
2017-06-14_1645,17728
2017-06-14_1700,17728
2017-06-14_1715,17731
2017-06-14_1730,17731
2017-06-14_1745,17722
2017-06-14_1800,15939
2017-06-14_1815,15939
2017-06-14_1830,15939
2017-06-14_1845,15939
2017-06-14_1900,15968
2017-06-14_1915,15970
2017-06-14_1930,15970
2017-06-14_1945,15970
2017-06-14_2000,15970
2017-06-14_2015,15970
2017-06-14_2030,15970
2017-06-14_2045,15970
2017-06-14_2100,15970
2017-06-14_2115,15975
2017-06-14_2130,15975
2017-06-14_2145,15975
2017-06-14_2200,15975
2017-06-14_2215,15975
2017-06-14_2230,15975
2017-06-14_2245,15975
2017-06-14_2300,15975
2017-06-14_2315,15971
2017-06-14_2330,15971
2017-06-14_2345,15971
2017-06-15_0000,15971
2017-06-15_0015,15971
2017-06-15_0030,15971
2017-06-15_0045,15971
2017-06-15_0100,15971
2017-06-15_0115,15975
2017-06-15_0130,15975
2017-06-15_0145,15975
2017-06-15_0200,15975
2017-06-15_0215,15975
2017-06-15_0230,15975
2017-06-15_0245,15975
2017-06-15_0300,15975
2017-06-15_0315,15970
2017-06-15_0330,15970
2017-06-15_0345,15970
2017-06-15_0400,15970
2017-06-15_0415,15970
2017-06-15_0430,15970
2017-06-15_0445,15970
2017-06-15_0500,15970
2017-06-15_0515,15968
2017-06-15_0530,15968
2017-06-15_0545,15968
2017-06-15_0600,15968
2017-06-15_0615,15968
2017-06-15_0630,15968
2017-06-15_0645,15968
2017-06-15_0700,15968
2017-06-15_0715,15966
2017-06-15_0730,15966
2017-06-15_0745,15966
2017-06-15_0800,15966
2017-06-15_0815,15966
2017-06-15_0830,15966
2017-06-15_0845,15966
2017-06-15_0900,15966
2017-06-15_0915,15967
2017-06-15_0930,15967
2017-06-15_0945,15967
2017-06-15_1000,15967
2017-06-15_1015,15967
2017-06-15_1030,15967
2017-06-15_1045,15967
2017-06-15_1100,15967
2017-06-15_1115,15964
2017-06-15_1130,15964
2017-06-15_1145,15964
2017-06-15_1200,15964
2017-06-15_1215,15962
2017-06-15_1230,15962
2017-06-15_1245,15962
2017-06-15_1300,15962
2017-06-15_1315,15966
2017-06-15_1330,15966
2017-06-15_1345,15966
2017-06-15_1400,15966
2017-06-15_1415,15966
2017-06-15_1430,15966
2017-06-15_1445,15966
2017-06-15_1500,15966
2017-06-15_1515,15967
2017-06-15_1530,15967
2017-06-15_1545,15967
2017-06-15_1600,15967
2017-06-15_1615,15967
2017-06-15_1630,15967
2017-06-15_1645,15967
2017-06-15_1700,15967
2017-06-15_1715,14801
2017-06-15_1730,14801
2017-06-15_1745,14796
2017-06-15_1800,14796
2017-06-15_1815,14796
2017-06-15_1830,14796
2017-06-15_1845,14796
2017-06-15_1900,14796
2017-06-15_1915,14795
2017-06-15_1930,14795
2017-06-15_1945,14795
2017-06-15_2000,14795
2017-06-15_2015,14795
2017-06-15_2030,14795
2017-06-15_2046,14795
2017-06-15_2100,14795
2017-06-15_2115,14797
2017-06-15_2130,14797
2017-06-15_2145,14797
2017-06-15_2200,14797
2017-06-15_2215,14797
2017-06-15_2230,14797
2017-06-15_2245,14797
2017-06-15_2300,14797
2017-06-15_2315,14799
2017-06-15_2330,14799
2017-06-15_2345,14799
2017-06-16_0000,14799
2017-06-16_0015,14799
2017-06-16_0030,14799
2017-06-16_0045,14799
2017-06-16_0100,14799
2017-06-16_0115,14800
2017-06-16_0130,14800
2017-06-16_0145,14800
2017-06-16_0200,14800
2017-06-16_0215,14800
2017-06-16_0230,14800
2017-06-16_0245,14800
2017-06-16_0300,14800
2017-06-16_0315,14799
2017-06-16_0330,14799
2017-06-16_0345,14799
2017-06-16_0400,14799
2017-06-16_0415,14800
2017-06-16_0430,14800
2017-06-16_0445,14800
2017-06-16_0501,14800
2017-06-16_0515,14798
2017-06-16_0530,14798
2017-06-16_0545,14798
2017-06-16_0600,14798
2017-06-16_0615,14798
2017-06-16_0630,14798
2017-06-16_0645,14798
2017-06-16_0700,14798
2017-06-16_0715,14799
2017-06-16_0730,14799
2017-06-16_0745,14799
2017-06-16_0800,14799
2017-06-16_0815,14799
2017-06-16_0830,14799
2017-06-16_0845,14799
2017-06-16_0900,14799
2017-06-16_0915,14804
2017-06-16_0930,14804
2017-06-16_0945,14804
2017-06-16_1000,14804
2017-06-16_1015,14804
2017-06-16_1030,14804
2017-06-16_1045,14804
2017-06-16_1100,14804
2017-06-16_1115,14807
2017-06-16_1130,14807
2017-06-16_1145,14807
2017-06-16_1200,14807
2017-06-16_1215,14807
2017-06-16_1230,14807
2017-06-16_1245,14807
2017-06-16_1300,14807
2017-06-16_1315,14809
2017-06-16_1330,14809
2017-06-16_1345,14809
2017-06-16_1400,14809
2017-06-16_1415,14809
2017-06-16_1430,14809
2017-06-16_1445,14809
2017-06-16_1500,14809
2017-06-16_1515,14806
2017-06-16_1530,14806
2017-06-16_1545,14806
2017-06-16_1600,14806
2017-06-16_1615,14806
2017-06-16_1630,14806
2017-06-16_1645,14806
2017-06-16_1700,14806
2017-06-16_1715,14811
2017-06-16_1730,14811
2017-06-16_1745,14804
2017-06-16_1800,14804
2017-06-16_1815,14804
2017-06-16_1830,14804
2017-06-16_1845,14804
2017-06-16_1900,14804
2017-06-16_1915,14803
2017-06-16_1930,14803
2017-06-16_1945,14803
2017-06-16_2000,14803
2017-06-16_2015,14803
2017-06-16_2030,14803
2017-06-16_2045,14803
2017-06-16_2100,14803
2017-06-16_2115,14804
2017-06-16_2130,14804
2017-06-16_2145,14804
2017-06-16_2200,14804
2017-06-16_2215,14804
2017-06-16_2230,14804
2017-06-16_2245,14802
2017-06-16_2315,14799
2017-06-16_2330,14799
2017-06-16_2345,14799
2017-06-17_0000,14799
2017-06-17_0015,14799
2017-06-17_0030,14799
2017-06-17_0045,14799
2017-06-17_0100,14799
2017-06-17_0115,14798
2017-06-17_0130,14798
2017-06-17_0145,14798
2017-06-17_0200,14798
2017-06-17_0215,14798
2017-06-17_0230,14798
2017-06-17_0245,14798
2017-06-17_0300,14798
2017-06-17_0315,14795
2017-06-17_0330,14795
2017-06-17_0345,14795
2017-06-17_0400,14795
2017-06-17_0415,14795
2017-06-17_0430,14795
2017-06-17_0445,14795
2017-06-17_0500,14795
2017-06-17_0515,14792
2017-06-17_0530,14792
2017-06-17_0545,14792
2017-06-17_0600,14792
2017-06-17_0615,14792
2017-06-17_0630,14792
2017-06-17_0645,14792
2017-06-17_0700,14792
2017-06-17_0715,14791
2017-06-17_0730,14791
2017-06-17_0745,14791
2017-06-17_0800,14791
2017-06-17_0815,14791
2017-06-17_0830,14791
2017-06-17_0845,14791
2017-06-17_0900,14791
2017-06-17_0915,14791
2017-06-17_0930,14791
2017-06-17_0945,14791
2017-06-17_1000,14791
2017-06-17_1015,14791
2017-06-17_1030,14791
2017-06-17_1045,14791
2017-06-17_1100,14791
2017-06-17_1115,14796
2017-06-17_1130,14796
2017-06-17_1145,14796
2017-06-17_1200,14796
2017-06-17_1215,14796
2017-06-17_1230,14796
2017-06-17_1245,14796
2017-06-17_1300,14796
2017-06-17_1315,14789
2017-06-17_1330,14789
2017-06-17_1345,14789
2017-06-17_1400,14789
2017-06-17_1415,14789
2017-06-17_1430,14789
2017-06-17_1445,14789
2017-06-17_1500,14789
2017-06-17_1515,14788
2017-06-17_1530,14784
2017-06-17_1545,14784
2017-06-17_1600,14784
2017-06-17_1615,13230
2017-06-17_1630,13230
2017-06-17_1645,13230
2017-06-17_1700,13230
2017-06-17_1715,13229
2017-06-17_1730,13229
2017-06-17_1745,13229
2017-06-17_1800,13229
2017-06-17_1815,13229
2017-06-17_1830,13229
2017-06-17_1845,13229
2017-06-17_1900,13229
2017-06-17_1915,13230
2017-06-17_1930,13230
2017-06-17_1945,13230
2017-06-17_2000,13230
2017-06-17_2015,13230
2017-06-17_2030,13230
2017-06-17_2045,13230
2017-06-17_2100,13230
2017-06-17_2115,13229
2017-06-17_2130,13229
2017-06-17_2145,13229
2017-06-17_2200,13229
2017-06-17_2215,13229
2017-06-17_2230,13229
2017-06-17_2245,13229
2017-06-17_2300,13229
2017-06-17_2315,13231
2017-06-17_2330,13231
2017-06-17_2345,13231
2017-06-18_0000,13231
2017-06-18_0015,13231
2017-06-18_0030,13231
2017-06-18_0045,13231
2017-06-18_0100,13231
2017-06-18_0115,13235
2017-06-18_0130,13235
2017-06-18_0145,13235
2017-06-18_0200,13235
2017-06-18_0215,13235
2017-06-18_0230,13235
2017-06-18_0245,13235
2017-06-18_0300,13235
2017-06-18_0315,13234
2017-06-18_0330,13234
2017-06-18_0345,13234
2017-06-18_0400,13234
2017-06-18_0415,13234
2017-06-18_0430,13234
2017-06-18_0445,13234
2017-06-18_0500,13234
2017-06-18_0515,13237
2017-06-18_0530,13237
2017-06-18_0545,13237
2017-06-18_0600,13237
2017-06-18_0615,13237
2017-06-18_0630,13237
2017-06-18_0645,13237
2017-06-18_0700,13237
2017-06-18_0715,13235
2017-06-18_0730,13235
2017-06-18_0745,13235
2017-06-18_0800,13235
2017-06-18_0815,13235
2017-06-18_0830,13235
2017-06-18_0845,13235
2017-06-18_0900,13235
2017-06-18_0915,13237
2017-06-18_0930,13237
2017-06-18_0945,13237
2017-06-18_1000,13237
2017-06-18_1015,13237
2017-06-18_1030,13237
2017-06-18_1045,13237
2017-06-18_1100,13237
2017-06-18_1115,13232
2017-06-18_1130,13232
2017-06-18_1145,13232
2017-06-18_1200,13232
2017-06-18_1215,13232
2017-06-18_1230,13232
2017-06-18_1245,13232
2017-06-18_1300,13232
2017-06-18_1315,13230
2017-06-18_1330,13230
2017-06-18_1345,13230
2017-06-18_1400,13230
2017-06-18_1415,13230
2017-06-18_1430,13230
2017-06-18_1445,13230
2017-06-18_1500,13230
2017-06-18_1515,13225
2017-06-18_1530,13225
2017-06-18_1545,13225
2017-06-18_1600,11439
2017-06-18_1615,11439
2017-06-18_1630,11439
2017-06-18_1645,11439
2017-06-18_1700,11439
2017-06-18_1715,11438
2017-06-18_1730,11438
2017-06-18_1745,11438
2017-06-18_1800,11438
2017-06-18_1815,11437
2017-06-18_1830,11437
2017-06-18_1845,11437
2017-06-18_1900,11437
2017-06-18_1915,11435
2017-06-18_1930,11435
2017-06-18_1945,11435
2017-06-18_2000,11435
2017-06-18_2015,11435
2017-06-18_2030,11435
2017-06-18_2045,11435
2017-06-18_2100,11435
2017-06-18_2115,11434
2017-06-18_2130,11434
2017-06-18_2145,11434
2017-06-18_2200,11434
2017-06-18_2215,11434
2017-06-18_2230,11434
2017-06-18_2245,11434
2017-06-18_2300,11434
2017-06-18_2315,11431
2017-06-18_2330,11431
2017-06-18_2345,11431
2017-06-19_0000,11431
2017-06-19_0015,11429
2017-06-19_0030,11429
2017-06-19_0045,11429
2017-06-19_0100,11429
2017-06-19_0115,11437
2017-06-19_0130,11437
2017-06-19_0145,11437
2017-06-19_0200,11437
2017-06-19_0215,11437
2017-06-19_0230,11437
2017-06-19_0245,11437
2017-06-19_0300,11437
2017-06-19_0315,11435
2017-06-19_0330,11435
2017-06-19_0345,11435
2017-06-19_0400,11435
2017-06-19_0415,11435
2017-06-19_0430,11435
2017-06-19_0445,11435
2017-06-19_0500,11435
2017-06-19_0515,11430
2017-06-19_0530,11430
2017-06-19_0545,11430
2017-06-19_0600,11430
2017-06-19_0615,11430
2017-06-19_0630,11430
2017-06-19_0645,11430
2017-06-19_0700,11430
2017-06-19_0715,11428
2017-06-19_0730,11428
2017-06-19_0745,11428
2017-06-19_0800,11428
2017-06-19_0815,11428
2017-06-19_0830,11428
2017-06-19_0845,11428
2017-06-19_0900,11428
2017-06-19_0915,11423
2017-06-19_0930,11423
2017-06-19_0945,11423
2017-06-19_1000,11423
2017-06-19_1015,11423
2017-06-19_1030,11423
2017-06-19_1045,11423
2017-06-19_1100,11423
2017-06-19_1115,11426
2017-06-19_1130,11426
2017-06-19_1145,11426
2017-06-19_1200,11426
2017-06-19_1215,11427
2017-06-19_1230,11427
2017-06-19_1245,11427
2017-06-19_1300,11427
2017-06-19_1315,11425
2017-06-19_1330,11425
2017-06-19_1345,11425
2017-06-19_1400,11425
2017-06-19_1415,11425
2017-06-19_1430,11425
2017-06-19_1445,11425
2017-06-19_1500,11425
2017-06-19_1515,11432
2017-06-19_1530,11432
2017-06-19_1545,11432
2017-06-19_1600,9390
2017-06-19_1615,9389
2017-06-19_1630,9389
2017-06-19_1645,9389
2017-06-19_1700,9389
2017-06-19_1715,9391
2017-06-19_1730,9391
2017-06-19_1745,9391
2017-06-19_1800,9391
2017-06-19_1815,9391
2017-06-19_1830,9391
2017-06-19_1845,9391
2017-06-19_1900,9388
2017-06-19_1915,9389
2017-06-19_1930,9389
2017-06-19_1945,9389
2017-06-19_2000,9389
2017-06-19_2015,9389
2017-06-19_2030,9389
2017-06-19_2045,9389
2017-06-19_2100,9389
2017-06-19_2115,9405
2017-06-19_2130,9405
2017-06-19_2145,9405
2017-06-19_2200,9405
2017-06-19_2215,9405
2017-06-19_2230,9405
2017-06-19_2245,9405
2017-06-19_2300,9405
2017-06-19_2315,9409
2017-06-19_2330,9409
2017-06-19_2345,9409
2017-06-20_0000,9409
2017-06-20_0015,9409
2017-06-20_0030,9409
2017-06-20_0045,9409
2017-06-20_0100,9409
2017-06-20_0115,9407
2017-06-20_0130,9407
2017-06-20_0145,9407
2017-06-20_0200,9407
2017-06-20_0215,9407
2017-06-20_0230,9407
2017-06-20_0245,9407
2017-06-20_0300,9407
2017-06-20_0330,9406
2017-06-20_0400,9406
2017-06-20_0415,9406
2017-06-20_0430,9406
2017-06-20_0445,9406
2017-06-20_0500,9406
2017-06-20_0515,9402
2017-06-20_0530,9402
2017-06-20_0545,9402
2017-06-20_0600,9402
2017-06-20_0615,9402
2017-06-20_0630,9402
2017-06-20_0645,9402
2017-06-20_0700,9402
2017-06-20_0715,9403
2017-06-20_0730,9403
2017-06-20_0745,9403
2017-06-20_0800,9403
2017-06-20_0815,9403
2017-06-20_0830,9403
2017-06-20_0845,9403
2017-06-20_0900,9403
2017-06-20_0915,9406
2017-06-20_0930,9406
2017-06-20_0945,9406
2017-06-20_1000,9406
2017-06-20_1015,9406
2017-06-20_1030,9406
2017-06-20_1045,9406
2017-06-20_1100,9406
2017-06-20_1115,9404
2017-06-20_1130,9404
2017-06-20_1145,9404
2017-06-20_1200,9404
2017-06-20_1215,9404
2017-06-20_1230,9404
2017-06-20_1245,9404
2017-06-20_1300,9404
2017-06-20_1315,9401
2017-06-20_1330,9401
2017-06-20_1345,9401
2017-06-20_1400,9401
2017-06-20_1415,9401
2017-06-20_1430,9401
2017-06-20_1445,9401
2017-06-20_1500,9401
2017-06-20_1515,9405
2017-06-20_1530,9405
2017-06-20_1545,9405
2017-06-20_1600,9405
2017-06-20_1616,9405
2017-06-20_1630,9405
2017-06-20_1645,7153
2017-06-20_1700,7154
2017-06-20_1715,7155
2017-06-20_1730,7155
2017-06-20_1745,7155
2017-06-20_1800,7155
2017-06-20_1815,7156
2017-06-20_1830,7156
2017-06-20_1845,7156
2017-06-20_1900,7155
2017-06-20_1915,7161
2017-06-20_1930,7162
2017-06-20_1945,7162
2017-06-20_2000,7162
2017-06-20_2015,7163
2017-06-20_2030,7163
2017-06-20_2045,7163
2017-06-20_2100,7163
2017-06-20_2115,7164
2017-06-20_2130,7164
2017-06-20_2145,7164
2017-06-20_2200,7164
2017-06-20_2215,7165
2017-06-20_2230,7165
2017-06-20_2245,7165
2017-06-20_2300,7165
2017-06-20_2315,7160
2017-06-20_2330,7160
2017-06-20_2345,7160
2017-06-21_0000,7160
2017-06-21_0015,7161
2017-06-21_0030,7161
2017-06-21_0045,7161
2017-06-21_0100,7161
2017-06-21_0115,7159
2017-06-21_0130,7159
2017-06-21_0145,7159
2017-06-21_0200,7159
2017-06-21_0215,7159
2017-06-21_0230,7159
2017-06-21_0245,7159
2017-06-21_0300,7159
2017-06-21_0315,7160
2017-06-21_0330,7160
2017-06-21_0345,7160
2017-06-21_0400,7160
2017-06-21_0415,7160
2017-06-21_0430,7160
2017-06-21_0445,7160
2017-06-21_0500,7160
2017-06-21_0515,7159
2017-06-21_0530,7159
2017-06-21_0545,7159
2017-06-21_0600,7159
2017-06-21_0615,7158
2017-06-21_0630,7158
2017-06-21_0645,7158
2017-06-21_0700,7158
2017-06-21_0715,7158
2017-06-21_0730,7158
2017-06-21_0745,7158
2017-06-21_0800,7158
2017-06-21_0815,7158
2017-06-21_0830,7158
2017-06-21_0845,7158
2017-06-21_0900,7158
2017-06-21_0915,7156
2017-06-21_0930,7156
2017-06-21_0945,7156
2017-06-21_1000,7156
2017-06-21_1015,7156
2017-06-21_1030,7156
2017-06-21_1045,7156
2017-06-21_1100,7156
2017-06-21_1115,7156
2017-06-21_1130,7156
2017-06-21_1145,7156
2017-06-21_1200,7156
2017-06-21_1215,7156
2017-06-21_1230,7156
2017-06-21_1245,7156
2017-06-21_1300,7156
2017-06-21_1315,7150
2017-06-21_1330,7150
2017-06-21_1345,7150
2017-06-21_1400,7148
2017-06-21_1415,7149
2017-06-21_1430,7149
2017-06-21_1445,7149
2017-06-21_1500,7149
2017-06-21_1515,7151
2017-06-21_1530,7151
2017-06-21_1545,7151
2017-06-21_1600,7151
2017-06-21_1615,7151
2017-06-21_1630,7151
2017-06-21_1645,7151
2017-06-21_1700,4829
2017-06-21_1715,4827
2017-06-21_1730,4827
2017-06-21_1745,4827
2017-06-21_1800,4827
2017-06-21_1815,4827
2017-06-21_1830,4827
2017-06-21_1845,4827
2017-06-21_1900,4827
2017-06-21_1915,4821
2017-06-21_1930,4821
2017-06-21_1945,4821
2017-06-21_2000,4821
2017-06-21_2015,4821
2017-06-21_2030,4821
2017-06-21_2045,4821
2017-06-21_2100,4821
2017-06-21_2115,4822
2017-06-21_2130,4822
2017-06-21_2145,4822
2017-06-21_2200,4822
2017-06-21_2215,4823
2017-06-21_2230,4821
2017-06-21_2245,4821
2017-06-21_2315,4822
2017-06-21_2330,4822
2017-06-21_2345,4822
2017-06-22_0000,7353
2017-06-22_0015,7394
2017-06-22_0030,7394
2017-06-22_0045,7394
2017-06-22_0100,7394
2017-06-22_0115,7393
2017-06-22_0130,7393
2017-06-22_0145,7393
2017-06-22_0200,7393
2017-06-22_0215,7394
2017-06-22_0230,7394
2017-06-22_0245,7394
2017-06-22_0300,7394
2017-06-22_0315,7390
2017-06-22_0330,7390
2017-06-22_0345,7390
2017-06-22_0400,7390
2017-06-22_0415,7390
2017-06-22_0430,7390
2017-06-22_0445,7390
2017-06-22_0500,7390
2017-06-22_0515,7388
2017-06-22_0530,7388
2017-06-22_0545,7388
2017-06-22_0600,7388
2017-06-22_0615,7387
2017-06-22_0630,7387
2017-06-22_0645,7387
2017-06-22_0700,7387
2017-06-22_0715,7387
2017-06-22_0730,7387
2017-06-22_0745,7387
2017-06-22_0800,7387
2017-06-22_0815,7387
2017-06-22_0830,7387
2017-06-22_0845,7387
2017-06-22_0900,7387
2017-06-22_0915,7387
2017-06-22_0930,7387
2017-06-22_0945,7387
2017-06-22_1000,7387
2017-06-22_1015,7387
2017-06-22_1030,7387
2017-06-22_1045,7387
2017-06-22_1100,7387
2017-06-22_1115,7389
2017-06-22_1130,7389
2017-06-22_1145,7389
2017-06-22_1200,7389
2017-06-22_1215,7389
2017-06-22_1230,7389
2017-06-22_1245,7389
2017-06-22_1300,7389
2017-06-22_1315,7389
2017-06-22_1330,7389
2017-06-22_1345,7389
2017-06-22_1400,8608
2017-06-22_1415,8609
2017-06-22_1430,8609
2017-06-22_1445,8609
2017-06-22_1500,8609
2017-06-22_1515,8617
2017-06-22_1530,8617
2017-06-22_1545,8617
2017-06-22_1601,8617
2017-06-22_1615,8617
2017-06-22_1630,8617
2017-06-22_1645,8617
2017-06-22_1701,8617
2017-06-22_1715,8611
2017-06-22_1730,8611
2017-06-22_1745,8611
2017-06-22_1800,8611
2017-06-22_1815,8611
2017-06-22_1830,8611
2017-06-22_1845,8611
2017-06-22_1900,8611
2017-06-22_1915,8613
2017-06-22_1930,8613
2017-06-22_1945,8613
2017-06-22_2000,8613
2017-06-22_2015,8613
2017-06-22_2030,8613
2017-06-22_2045,8613
2017-06-22_2100,8613
2017-06-22_2115,8613
2017-06-22_2130,8613
2017-06-22_2145,8613
2017-06-22_2200,8613
2017-06-22_2215,8613
2017-06-22_2230,8613
2017-06-22_2245,8613
2017-06-22_2300,8613
2017-06-22_2315,8615
2017-06-22_2330,8615
2017-06-22_2345,8615
2017-06-23_0000,8615
2017-06-23_0015,8615
2017-06-23_0030,8615
2017-06-23_0045,8615
2017-06-23_0100,8615
2017-06-23_0115,8615
2017-06-23_0130,8615
2017-06-23_0145,8615
2017-06-23_0200,8615
2017-06-23_0215,8615
2017-06-23_0230,8615
2017-06-23_0245,8615
2017-06-23_0300,8615
2017-06-23_0315,8613
2017-06-23_0330,8613
2017-06-23_0345,8613
2017-06-23_0400,8613
2017-06-23_0415,8613
2017-06-23_0430,8613
2017-06-23_0445,8613
2017-06-23_0500,8613
2017-06-23_0515,8614
2017-06-23_0530,8614
2017-06-23_0545,8614
2017-06-23_0600,8614
2017-06-23_0615,8614
2017-06-23_0630,8614
2017-06-23_0645,8614
2017-06-23_0700,8614
2017-06-23_0715,8612
2017-06-23_0730,8612
2017-06-23_0745,8612
2017-06-23_0800,8612
2017-06-23_0815,8612
2017-06-23_0830,8612
2017-06-23_0845,8612
2017-06-23_0900,8612
2017-06-23_0915,8614
2017-06-23_0930,8614
2017-06-23_0945,8614
2017-06-23_1000,8614
2017-06-23_1015,8614
2017-06-23_1030,8614
2017-06-23_1045,8614
2017-06-23_1100,8614
2017-06-23_1115,8610
2017-06-23_1130,8610
2017-06-23_1145,8610
2017-06-23_1200,8610
2017-06-23_1215,8612
2017-06-23_1230,8612
2017-06-23_1245,8612
2017-06-23_1300,8612
2017-06-23_1315,8615
2017-06-23_1330,8615
2017-06-23_1345,8615
2017-06-23_1400,8615
2017-06-23_1415,8616
2017-06-23_1430,8616
2017-06-23_1445,8616
2017-06-23_1500,8616
2017-06-23_1515,8615
2017-06-23_1530,8615
