Date_time,No.of Black_listed_IPs
2017-05-22_1215,21279
2017-05-22_1230,21279
2017-05-22_1245,21279
2017-05-22_1300,21279
2017-05-22_1315,21279
2017-05-22_1330,21279
2017-05-22_1345,21279
2017-05-22_1400,21280
2017-05-22_1415,21280
2017-05-22_1430,21280
2017-05-22_1445,21280
2017-05-22_1500,21280
2017-05-22_1515,21282
2017-05-22_1530,21282
2017-05-22_1545,21282
2017-05-22_1600,21282
2017-05-22_1615,21282
2017-05-22_1630,21282
2017-05-22_1645,21282
2017-05-22_1700,21282
2017-05-22_1715,21278
2017-05-22_1730,21278
2017-05-22_1745,20759
2017-05-22_1800,20759
2017-05-22_1815,20759
2017-05-22_1830,20759
2017-05-22_1845,20759
2017-05-22_1900,21230
2017-05-22_1915,21230
2017-05-22_1930,21230
2017-05-22_1945,21230
2017-05-22_2000,21230
2017-05-22_2015,21230
2017-05-22_2030,21230
2017-05-22_2045,21230
2017-05-22_2100,21230
2017-05-22_2115,21231
2017-05-22_2130,21231
2017-05-22_2145,21231
2017-05-22_2200,21231
2017-05-22_2215,21231
2017-05-22_2230,21231
2017-05-22_2245,21231
2017-05-22_2315,21236
2017-05-22_2330,21236
2017-05-22_2345,21236
2017-05-23_0000,21236
2017-05-23_0015,21236
2017-05-23_0030,21236
2017-05-23_0045,21236
2017-05-23_0100,21236
2017-05-23_0115,21241
2017-05-23_0130,21241
2017-05-23_0145,21241
2017-05-23_0200,21241
2017-05-23_0215,21241
2017-05-23_0230,21241
2017-05-23_0245,21241
2017-05-23_0300,21241
2017-05-23_0315,21237
2017-05-23_0330,21237
2017-05-23_0345,21237
2017-05-23_0400,21237
2017-05-23_0415,21237
2017-05-23_0430,21237
2017-05-23_0445,21237
2017-05-23_0500,21237
2017-05-23_0515,21238
2017-05-23_0530,21238
2017-05-23_0545,21238
2017-05-23_0600,21238
2017-05-23_0615,21239
2017-05-23_0630,21238
2017-05-23_0645,21238
2017-05-23_0700,21238
2017-05-23_0715,21238
2017-05-23_0730,21237
2017-05-23_0745,21237
2017-05-23_0800,21237
2017-05-23_0815,21237
2017-05-23_0830,21237
2017-05-23_0845,21237
2017-05-23_0900,21237
2017-05-23_0915,21241
2017-05-23_0930,21241
2017-05-23_0945,21241
2017-05-23_1000,21241
2017-05-23_1015,21241
2017-05-23_1030,21241
2017-05-23_1045,21241
2017-05-23_1100,21241
2017-05-23_1115,21239
2017-05-23_1130,21239
2017-05-23_1145,21239
2017-05-23_1200,21239
2017-05-23_1215,21239
2017-05-23_1230,21239
2017-05-23_1245,21239
2017-05-23_1300,21239
2017-05-23_1315,21241
