,Aug-01,Aug-03,Aug-08,Aug-09,Aug-10,Aug-15,Aug-17
Aug-01,0,-4,12,6,3,0,12
Aug-03,-6,0,6,2,0,7,7
Aug-08,-1,4,0,4,0,7,2
Aug-09,-6,-4,6,0,-1,0,-5
Aug-10,-1,-9,-1,8,0,-1,-4
Aug-15,5,2,5,0,-2,0,-2
Aug-17,-4,5,8,10,-4,1,0
