,Aug-01,Aug-03,Aug-08,Aug-09,Aug-10,Aug-15,Aug-17
Aug-01,0,0,0,1,-1,3,4
Aug-03,0,0,0,1,-1,4,7
Aug-08,-3,1,0,1,-1,2,3
Aug-09,-2,1,0,0,-1,2,2
Aug-10,-1,1,0,0,0,0,1
Aug-15,-4,-1,0,0,0,0,0
Aug-17,-4,0,7,29,0,0,0
