,Aug-23,Aug-24,Aug-29,Aug-31,Sep-06,Sep-08,Sep-12
Aug-23,0,0,-6,10,0,-1,-8
Aug-24,-76469,0,-6,1,0,-1,-8
Aug-29,-76469,2,0,10,0,0,-1
Aug-31,-76469,2,0,0,0,0,-1
Sep-06,-76469,2,0,10,0,0,-1
Sep-08,-76469,2,0,1,0,0,-1
Sep-12,-76468,4,1,7,0,0,0
