,Aug-23,Aug-24,Aug-29,Aug-31,Sep-06,Sep-08,Sep-12
Aug-23,0,0,0,0,0,3,21
Aug-24,1,0,0,0,0,4,21
Aug-29,-47980,75261,0,0,0,2,21
Aug-31,-47980,75261,0,0,0,2,21
Sep-06,-47980,75260,9,0,0,0,21
Sep-08,-47980,75260,9,0,0,0,21
Sep-12,-47980,75260,9,0,0,0,0
