,Aug-01,Aug-03,Aug-08,Aug-09,Aug-10,Aug-15,Aug-17
Aug-01,0,0,-13,-49,-4,-19,-55
Aug-03,-1,0,-12,-37,-3,-17,-62
Aug-08,110,13,0,-3,-2,-5,-38
Aug-09,116,13,4,0,0,-5,-27
Aug-10,118,13,6,0,0,-5,-25
Aug-15,143,27,10,1,-2,0,-2
Aug-17,145,36,10,4,0,0,0
